Q1,"Amy loves reading. She spends a lot of time in the library. She reads not only novels ___(1)___ also science books. Her friends think she is a little strange, ___(2)___ Amy doesn’t mind. She ___(3)___ to become a writer one day, so she ___(4)___ hard every day."
(1),and,or,but,so,A
(2),so,but,and,because,B
(3),hope,hopes,hoped,hoping,B
(4),practice,practices,practiced,practicing,B
Q2,"Tom is a student. He ___(1)___ to school by bus every day. One day, the bus broke down, so he ___(2)___ to walk. It was a long walk, ___(3)___ he didn’t complain. Finally, he ___(4)___ school on time."
(1),go,goes,went,going,B
(2),decide,decides,decided,deciding,C
(3),so,but,because,and,B
(4),reach,reached,reaches,reaching,B
Q3,"Amy loves reading. She spends a lot of time in the library. She reads not only novels ___(1)___ also science books. Her friends think she is a little strange, ___(2)___ Amy doesn’t mind. She ___(3)___ to become a writer one day, so she ___(4)___ hard every day."
(1),and,or,but,so,A
(2),so,but,and,because,B
(3),hope,hopes,hoped,hoping,B
(4),practice,practices,practiced,practicing,B
Q4,"Tom is a student. He ___(1)___ to school by bus every day. One day, the bus broke down, so he ___(2)___ to walk. It was a long walk, ___(3)___ he didn’t complain. Finally, he ___(4)___ school on time."
(1),go,goes,went,going,B
(2),decide,decides,decided,deciding,C
(3),so,but,because,and,B
(4),reach,reached,reaches,reaching,B
Q5,"Tom is a student. He ___(1)___ to school by bus every day. One day, the bus broke down, so he ___(2)___ to walk. It was a long walk, ___(3)___ he didn’t complain. Finally, he ___(4)___ school on time."
(1),go,goes,went,going,B
(2),decide,decides,decided,deciding,C
(3),so,but,because,and,B
(4),reach,reached,reaches,reaching,B
Q6,"Tom is a student. He ___(1)___ to school by bus every day. One day, the bus broke down, so he ___(2)___ to walk. It was a long walk, ___(3)___ he didn’t complain. Finally, he ___(4)___ school on time."
(1),go,goes,went,going,B
(2),decide,decides,decided,deciding,C
(3),so,but,because,and,B
(4),reach,reached,reaches,reaching,B
Q7,"Amy loves reading. She spends a lot of time in the library. She reads not only novels ___(1)___ also science books. Her friends think she is a little strange, ___(2)___ Amy doesn’t mind. She ___(3)___ to become a writer one day, so she ___(4)___ hard every day."
(1),and,or,but,so,A
(2),so,but,and,because,B
(3),hope,hopes,hoped,hoping,B
(4),practice,practices,practiced,practicing,B
Q8,"It was raining heavily, and Peter forgot to bring his umbrella. He ran through the rain, trying to stay dry. When he got home, he ___(1)___ all wet. His mother told him to change his clothes and ___(2)___ some hot tea. He felt much better ___(3)___. The next day, he remembered to bring an umbrella just in ___(4)___."
(1),is,was,were,are,B
(2),drink,drank,drinks,drinking,B
(3),after,then,before,soon,D
(4),case,time,need,place,A
Q9,"Tom is a student. He ___(1)___ to school by bus every day. One day, the bus broke down, so he ___(2)___ to walk. It was a long walk, ___(3)___ he didn’t complain. Finally, he ___(4)___ school on time."
(1),go,goes,went,going,B
(2),decide,decides,decided,deciding,C
(3),so,but,because,and,B
(4),reach,reached,reaches,reaching,B
Q10,"Amy loves reading. She spends a lot of time in the library. She reads not only novels ___(1)___ also science books. Her friends think she is a little strange, ___(2)___ Amy doesn’t mind. She ___(3)___ to become a writer one day, so she ___(4)___ hard every day."
(1),and,or,but,so,A
(2),so,but,and,because,B
(3),hope,hopes,hoped,hoping,B
(4),practice,practices,practiced,practicing,B
Q11,"Tom is a student. He ___(1)___ to school by bus every day. One day, the bus broke down, so he ___(2)___ to walk. It was a long walk, ___(3)___ he didn’t complain. Finally, he ___(4)___ school on time."
(1),go,goes,went,going,B
(2),decide,decides,decided,deciding,C
(3),so,but,because,and,B
(4),reach,reached,reaches,reaching,B
Q12,"It was raining heavily, and Peter forgot to bring his umbrella. He ran through the rain, trying to stay dry. When he got home, he ___(1)___ all wet. His mother told him to change his clothes and ___(2)___ some hot tea. He felt much better ___(3)___. The next day, he remembered to bring an umbrella just in ___(4)___."
(1),is,was,were,are,B
(2),drink,drank,drinks,drinking,B
(3),after,then,before,soon,D
(4),case,time,need,place,A
Q13,"Amy loves reading. She spends a lot of time in the library. She reads not only novels ___(1)___ also science books. Her friends think she is a little strange, ___(2)___ Amy doesn’t mind. She ___(3)___ to become a writer one day, so she ___(4)___ hard every day."
(1),and,or,but,so,A
(2),so,but,and,because,B
(3),hope,hopes,hoped,hoping,B
(4),practice,practices,practiced,practicing,B
Q14,"Tom is a student. He ___(1)___ to school by bus every day. One day, the bus broke down, so he ___(2)___ to walk. It was a long walk, ___(3)___ he didn’t complain. Finally, he ___(4)___ school on time."
(1),go,goes,went,going,B
(2),decide,decides,decided,deciding,C
(3),so,but,because,and,B
(4),reach,reached,reaches,reaching,B
Q15,"It was raining heavily, and Peter forgot to bring his umbrella. He ran through the rain, trying to stay dry. When he got home, he ___(1)___ all wet. His mother told him to change his clothes and ___(2)___ some hot tea. He felt much better ___(3)___. The next day, he remembered to bring an umbrella just in ___(4)___."
(1),is,was,were,are,B
(2),drink,drank,drinks,drinking,B
(3),after,then,before,soon,D
(4),case,time,need,place,A
Q16,"Tom is a student. He ___(1)___ to school by bus every day. One day, the bus broke down, so he ___(2)___ to walk. It was a long walk, ___(3)___ he didn’t complain. Finally, he ___(4)___ school on time."
(1),go,goes,went,going,B
(2),decide,decides,decided,deciding,C
(3),so,but,because,and,B
(4),reach,reached,reaches,reaching,B
Q17,"It was raining heavily, and Peter forgot to bring his umbrella. He ran through the rain, trying to stay dry. When he got home, he ___(1)___ all wet. His mother told him to change his clothes and ___(2)___ some hot tea. He felt much better ___(3)___. The next day, he remembered to bring an umbrella just in ___(4)___."
(1),is,was,were,are,B
(2),drink,drank,drinks,drinking,B
(3),after,then,before,soon,D
(4),case,time,need,place,A
Q18,"It was raining heavily, and Peter forgot to bring his umbrella. He ran through the rain, trying to stay dry. When he got home, he ___(1)___ all wet. His mother told him to change his clothes and ___(2)___ some hot tea. He felt much better ___(3)___. The next day, he remembered to bring an umbrella just in ___(4)___."
(1),is,was,were,are,B
(2),drink,drank,drinks,drinking,B
(3),after,then,before,soon,D
(4),case,time,need,place,A
